Topic,Count,Name,Representation,Representative_Docs
-1,49436,-1_like_just_don_ll,"['like', 'just', 'don', 'll', 'think', 'know', 'right', 've', 'going', 'did']","['I just...', 'I like that.', 'Like this.']"
0,2349,0_daughter_girl_did_doesn,"['daughter', 'girl', 'did', 'doesn', 'like', 'woman', 'tell', 'didn', 'told', 'just']","['My other daughter?', 'Your daughter is me.', 'My daughter?']"
1,1569,1_guy_knew_did_saw,"['guy', 'knew', 'did', 'saw', 'know', 'wants', 'tell', 'didn', 'll', 'does']","['He knew there were others.', 'You know that guy?', '""I didn\'t even know the man.']"
2,1125,2_room_house_live_upstairs,"['room', 'house', 'live', 'upstairs', 'flat', 'place', 'downstairs', 'street', 'boston', 'floor']","['We made up a room for you.', 'What room?', 'It’s in the other room.']"
3,1038,3_decision_plan_try_choice,"['decision', 'plan', 'try', 'choice', 'won', 'decide', 'choose', 'mind', 'don', 'don want']","['The decision’s been made.', 'Have we made a decision?', 'It’s not my decision.']"
4,871,4_home_stay_leaving_leave,"['home', 'stay', 'leaving', 'leave', 'come', 'going', 'gotta', 'want come', 'want home', 'going home']","['I have to go home.', 'I can go home!', 'I have to go home.']"
5,680,5_read_book_write_letter,"['read', 'book', 'write', 'letter', 'writing', 'books', 'writer', 'reading', 'hemingway', 'published']","['I can’t read!', 'You read them?', 'You can read this?']"
6,647,6_black_nigger_white_niggers,"['black', 'nigger', 'white', 'niggers', 'slave', 'black people', 'white people', 'nigga', 'black man', 'white man']","['Black.', 'Something black though.', 'And he and I are black.']"
7,628,7_oh_oh god_god_ha,"['oh', 'oh god', 'god', 'ha', 'god oh', 'jesus', 'yes', 'yeah', 'oh yes', 'yeah oh']","['Oh god.', 'Oh my god!', 'OH MY GOD!!!!']"
8,582,8_dinner_eat_lunch_chicken,"['dinner', 'eat', 'lunch', 'chicken', 'hungry', 'food', 'breakfast', 'cook', 'cheese', 'eggs']","['Eat.', 'Have something to eat.', 'Eat.']"
9,574,9_cardinal_church_pope_priests,"['cardinal', 'church', 'pope', 'priests', 'holy', 'holy father', 'priest', 'tremblay', 'catholic', 'archbishop']","['From the Church?', 'Cardinal Tremblay.', 'Cardinal Tremblay.']"
10,531,10_talk_listen_hear_quiet,"['talk', 'listen', 'hear', 'quiet', 'speak', 'deaf', 'voice', 'listening', 'listen listen', 'silence']","['Or even talk.', 'And you talk to me.', 'Talk.']"
11,465,11_evelyn_anne_evelyn evelyn_anne anne,"['evelyn', 'anne', 'evelyn evelyn', 'anne anne', 'vanessa', 'samantha', 'nina', 'mary', 'cassie', 'alicia']","['Evelyn...', 'No Evelyn!', 'EVELYN                             EVELYN Not now.']"
12,438,12_doctor_dr_doc_dr dr,"['doctor', 'dr', 'doc', 'dr dr', 'hospital', 'alive', 'dead', 'tuberculosis', 'blood', 'surgeon']","['I am not a doctor.', 'You a doctor?', 'You are a Doctor.']"
13,432,13_bonds_mortgage_banks_swaps,"['bonds', 'mortgage', 'banks', 'swaps', 'market', 'housing', 'cdos', 'subprime', 'bond', 'mortgage bonds']","['Basically Lewis Ranieri’s Mortgage bonds were amazingly profitable for the big banks.', 'Instead of creating mortgage bonds that were guaranteed by the US government, they started creating their own private mortgage bonds.', 'I want to buy swaps on mortgage bonds.']"
14,411,14_car_van_drive_truck,"['car', 'van', 'drive', 'truck', 'car car', 'vehicle', 'driving', 'road', 'fucking car', 'cars']","['Get the car!', 'I found this one on my Car.', 'You get out of the car!']"
15,351,15_phone_called_number_calls,"['phone', 'called', 'number', 'calls', 'calling', 'cell', 'phones', 'phone phone', 'phone friend', 'cell phone']","['Give me that phone!', 'Take my phone!!', 'Where’s your phone!']"
16,351,16_music_band_rock_song,"['music', 'band', 'rock', 'song', 'rock roll', 'sing', 'roll', 'songs', 'play', 'guitar']","['Music.', 'Your music?', 'We are here because of the music.']"
17,343,17_know don_don know_know_don,"['know don', 'don know', 'know', 'don', 'sure don', 'dunno', 'know sure', 'idea don', 'dunno don', 'know dunno']","['I don’t know.', 'I don’t know.', 'I don’t know.']"
18,330,18_money_dollars_thousand_pay,"['money', 'dollars', 'thousand', 'pay', 'thousand dollars', 'money money', '000', 'paid', 'zlotys', 'cash']","[""I'd take the money."", ""It's full a money."", 'Can I have some money?']"
19,327,19_drink_wine_beer_pinot,"['drink', 'wine', 'beer', 'pinot', 'glass', 'bottle', 'want drink', 'champagne', 'water', 'drinking']","['Can I get you something to drink?', 'Can I get you something to drink?', 'Drink up.']"
20,326,20_lawyer_jury_judge_court,"['lawyer', 'jury', 'judge', 'court', 'case', 'trial', 'counsel', 'attorney', 'motion', 'cases']","['She’s a lawyer.', ""Who's the lawyer?"", 'To see the lawyer.']"
21,287,21_married_marriage_husband_getting married,"['married', 'marriage', 'husband', 'getting married', 'divorce', 'wedding', 'divorced', 'getting', 'annulled', 'marry']","['So you and her are married?', ""Well, you're married."", 'So...you’re married.']"
22,276,22_good_great_bad_good good,"['good', 'great', 'bad', 'good good', 'really good', 'great good', 'nice', 'nice good', 'good bad', 'great great']","[""It's good."", 'That’s good.', ""It's a good, good, good thing.""]"
23,271,23_fight_kill_fighter_fights,"['fight', 'kill', 'fighter', 'fights', 'frankie', 'fight fight', 'fighting', 'boxing', 'killed', 'going kill']","['This is how I fight.', 'Fight!', 'I will fight with you.']"
24,267,24_fine_okay_alright_fine fine,"['fine', 'okay', 'alright', 'fine fine', 'okay okay', 'ok', 'good fine', 'okay fine', 'fine okay', 'fine good']","['I’m fine.', 'You’re not fine.', 'Fine, too...']"
25,262,25_mother_mama_mom_mother mother,"['mother', 'mama', 'mom', 'mother mother', 'maman', 'know mother', 'mama mama', 'mom mom', 'mom mother', 'mother know']","[""Where's your Mother?"", 'My mother?', 'Mother?']"
26,224,26_smart_nice_nice nice_guy,"['smart', 'nice', 'nice nice', 'guy', 'smart smart', 'intelligent', 'think smart', 'nice guy', 'just nice', 'natural']","['So smart.', 'Smart.', 'Very smart.']"
27,222,27_rome_caesar_emperor_maximus,"['rome', 'caesar', 'emperor', 'maximus', 'rome rome', 'empire', 'gladiator', 'lucius', 'commodus', 'colosseum']","['Here in Rome?', 'For Rome!', 'Rome...']"
28,222,28_dressed_clothes_shirt_wearing,"['dressed', 'clothes', 'shirt', 'wearing', 'hair', 'suit', 'dress', 'fashion', 'underwear', 'panties']","['I’m not dressed.', 'Why are you so dressed up?', 'I have to get dressed.']"
29,221,29_trust_lie_liar_lying,"['trust', 'lie', 'liar', 'lying', 'believe', 'don trust', 'don lie', 'honest', 'lied', 'trusted']","['I can’t trust it.', 'I trust you.', 'You must trust me.']"
30,220,30_david_chandler_jim_james,"['david', 'chandler', 'jim', 'james', 'david david', 'rod', 'joshua', 'michael', 'charles', 'miller']","[""How's David?"", ""How's David?"", 'DAVID!']"
31,218,31_cop_police_sheriff_cops,"['cop', 'police', 'sheriff', 'cops', 'detective', 'officer', 'undercover', 'cop cop', 'fbi', 'policeman']","['You A Cop?', 'I am not a cop.', 'Cop.']"
32,217,32_don don_don yes_yes don_don,"['don don', 'don yes', 'yes don', 'don', 'don yeah', 'sure don', 'don course', 'yes', 'does don', 'really don']","['No, you don’t!', ""Don't you--!"", 'No...I don’t!']"
33,216,33_hands_fingers_hand_knees,"['hands', 'fingers', 'hand', 'knees', 'hands hands', 'breath', 'hands head', 'air', 'legs', 'hands plain']","['Put your hands where I can see them!', 'Put your hands up!', 'Keep your hands up.']"
34,209,34_friends_met_friend_friends friends,"['friends', 'met', 'friend', 'friends friends', 'best friend', 'friend friends', 've met', 'did meet', 'friendship', 'meet']","['Friends?', 'no friends...', 'Friends...']"
35,208,35_love love_love_love atcha_atcha love,"['love love', 'love', 'love atcha', 'atcha love', 'éowyn love', 'love spoo', 'spoo love', 'spoo', 'love gotta', 'atcha']","['I love it.', 'Love it.', 'I love it.']"
36,203,36_know know_know_didn know_know knew,"['know know', 'know', 'didn know', 'know knew', 'know don', 'know didn', 'aware', 'don know', 'knew', 'know idea']","['You know this to be so?', 'You know that?', 'Because I know.']"
37,203,37_course_really course_ain ain_ain,"['course', 'really course', 'ain ain', 'ain', 'yeah ain', 'yes', 'aren', 'really', 'ain eod', 'afraid noooo']","['Am I what Of course.', ""'Course I'm no Stinkin' Kike."", 'You are - you’re just like this little puppy I rescued in Runyon Canyon last year.']"
38,202,38_gay_vote_senate_candidate,"['gay', 'vote', 'senate', 'candidate', 'ballot', 'votes', 'rights', 'anita', 'anita bryant', 'bryant']","['The Gay Rights Ordinance.', 'A gay candidate against a gay candidate.', 'The Vote...?']"
39,196,39_sorry sorry_sorry_sorry oh_sorry hear,"['sorry sorry', 'sorry', 'sorry oh', 'sorry hear', 'hear sorry', 'sorry really', 'oh sorry', 'really sorry', 'god sorry', 'sorry just']","[""I'm sorry."", 'I’m sorry...', 'Sorry, I - -- sorry.']"
40,196,40_doing doing_doing_doin_doing hell,"['doing doing', 'doing', 'doin', 'doing hell', 'hell doing', 'hell', 'fuck doing', 'think doing', 'doin doing', 'doing doin']","['What are you doing?', ""I'd be doing something."", 'What are you doing?']"
41,196,41_uh huh_uh_mm_shhh,"['uh huh', 'uh', 'mm', 'shhh', 'um', 'huh', 'huh uh', 'shhhh', 'mm mm', 'shush']","['Uh huh...', 'Uh-huh.', 'Uh-huh.']"
42,194,42_sleep_tired_wake_sleeping,"['sleep', 'tired', 'wake', 'sleeping', 'asleep', 'bed', 'did sleep', 'rest', 'exhausted', 'sleep sleep']","['You can’t sleep here!', ""...How'd you sleep?"", 'Go to sleep.']"
43,194,43_school_teacher_teachers_college,"['school', 'teacher', 'teachers', 'college', 'grade', 'teach', 'students', 'class', 'high school', 'alternative']","['It’s not at school?', 'School.', 'School.']"
44,191,44_names_cellophane_calling_called,"['names', 'cellophane', 'calling', 'called', 'real', 'cellophane mister', 'mister cellophane', 'stop calling', 'jokes', 'named']","['Names!', 'What were their names?', 'What will our names be?']"
45,191,45_ask_question_curious_asking,"['ask', 'question', 'curious', 'asking', 'questions', 'ask question', 'ask ask', 'just curious', 'asked', 'asking ask']","['Can I ask you a question?', 'All you have to do is ask me a question.', 'May I ask one more question?']"
46,190,46_baby_pregnant_babies_child,"['baby', 'pregnant', 'babies', 'child', 'baby baby', 'know baby', 'adoption', 'baby going', 'want baby', 'baby want']","['The baby.', 'What baby?', 'And the baby...']"
47,182,47_mr mr_mr_mr aware_mr maybe,"['mr mr', 'mr', 'mr aware', 'mr maybe', 'aware mr', 'mr did', 'maybe mr', 'did mr', 'mr wood', 'wood']","['Mr.', 'Mr.', 'Mr.']"
48,181,48_help_help help_help need_need help,"['help', 'help help', 'help need', 'need help', 'need', 'want help', 'help don', 'help want', 'urgent', 'little help']","['Can I help you?', 'Help with what?', 'I can help.']"
49,180,49_frodo_frodo frodo_gondor_minas,"['frodo', 'frodo frodo', 'gondor', 'minas', 'tirith', 'minas tirith', 'sauron', 'gandalf', 'mordor', 'aragorn']","['Frodo!', 'Frodo?', 'Frodo!']"
50,179,50_saying_say_said_say know,"['saying', 'say', 'said', 'say know', 'didn say', 'know mean', 'just saying', 'talking', 'don say', 'talking said']","[""That's what I'm saying."", 'You were saying?', 'That’s not what I’m saying.']"
51,177,51_really really_really_yes really_really yes,"['really really', 'really', 'yes really', 'really yes', 'really oh', 'oh yeah', 'yes', 'oh really', 'yes yes', 'yeah really']","['Really?', 'Really?', 'Really?']"
52,175,52_remember_remember remember_forget_don remember,"['remember', 'remember remember', 'forget', 'don remember', 'forgot', 'forgotten', 'remember forget', 'remember don', 'forget remember', 'memory']","['Remember?', 'I remember.', 'Do you remember?']"
53,174,53_bomb_atomic_atomic bomb_hiroshima,"['bomb', 'atomic', 'atomic bomb', 'hiroshima', 'hydrogen', 'hydrogen bomb', 'uranium', 'nuclear', 'detonate', 'weapon']","['It is an atomic bomb.', 'A bomb.', 'Where’s that Bomb?']"
54,173,54_good good_good_okay_yay,"['good good', 'good', 'okay', 'yay', 'boom', 'ok', 'ok ok', 'okay good', 'oh great', 'oh okay']","['Good, good.', 'Good, good.', 'Very good, very good.']"
55,171,55_scared_nervous_worried_fear,"['scared', 'nervous', 'worried', 'fear', 'scares', 'scared scared', 'nervous scared', 'got scared', 'afraid', 'worried worried']","[""I'm scared."", 'Or are you scared?', 'Scared me.']"
56,171,56_gun_gun gun_guns_reached gun,"['gun', 'gun gun', 'guns', 'reached gun', 'shoot', 'reached', 'oh yes', 'pistol', 'shooting', 'weapon']","['Give me the gun.', ""NOT A BIT REPREHENSIBLEIT’S SO DEFENSIBLE' THE GUN, THE GUN, THE GUN, THE GUN BOTH REACHED FOR THE GUN THE GUN, THE GUN, THE GUN, THE GUN BOTH REACHED FOR THE GUN ...and all that happened on Lakeshore Drive?"", 'THE GUN, THE GUN, THE GUN, THE GUN OH YES, THEY BOTH REACHED FOR THE GUN, THE GUN, THE GUN, THE GUN, THE GUN THE GUN, THE GUN, THE GUN, THE GUN THE GUN, THE GUN, THE GUN, THE GUN Miss Baxter, did you know these two ladies personally?']"
57,168,57_ok_okay_okay okay_fine,"['ok', 'okay', 'okay okay', 'fine', 'ok ok', 'alright', 'fine fine', 'fine okay', 'right ok', 'right']","[""That's ok."", 'That’s OK.', ""It's okay, I'm okay.""]"
58,166,58_cold_rain_freezing_snow,"['cold', 'rain', 'freezing', 'snow', 'storm', 'raining', 'cold cold', 'weather', 'winter', 'wind']","[""It's cold."", ""It's cold."", ""It's too cold.""]"
59,163,59_want want_want_want don_need want,"['want want', 'want', 'want don', 'need want', 'want need', 'need', 'want got', 'know want', 'looking want', 'fuck want']","['What you want?', 'You want anything?', 'I want...']"
60,162,60_oppenheimer_dr oppenheimer_dr_physics,"['oppenheimer', 'dr oppenheimer', 'dr', 'physics', 'einstein', 'robert oppenheimer', 'quantum', 'security', 'strauss', 'scientists']","['Dr Oppenheimer.', 'Dr Oppenheimer?', 'Dr Oppenheimer!']"
61,156,61_good night_good morning_night_night good,"['good night', 'good morning', 'night', 'night good', 'morning', 'good', 'goodnight', 'morning good', 'nice day', 'evening']","['Have a good night.', 'Good night!', 'Good night.']"
62,156,62_salim_salim salim_amitabh_bhai,"['salim', 'salim salim', 'amitabh', 'bhai', 'faramir', 'mejal', 'srinivas', 'mister', 'faramir faramir', 'crorepati']","['Salim!', ""Salim, I....can't."", 'Salim!']"
63,150,63_old_age_young_years old,"['old', 'age', 'young', 'years old', 'old old', '12', 'older', 'old man', 'mid life', 'old getting']","['How old are you?', ""You're not so old."", ""I'm too old for that.""]"
64,146,64_actually_mean mean_mean actually_mean,"['actually', 'mean mean', 'mean actually', 'mean', 'actually oh', 'actually actually', 'actually darlin', 'actually hand', 'chap dude', 'fact dis']","['No, actually...', 'Actually.', 'Actually ....']"
65,143,65_problem_big deal_hard_difficult,"['problem', 'big deal', 'hard', 'difficult', 'deal', 'expect', 'big', 'hoped', 'problem problem', 'hard tough']","[""It's no big deal."", 'Not a big deal?', 'It’s not a big deal.']"
66,143,66_wasn wasn_somebody_wasn_including,"['wasn wasn', 'somebody', 'wasn', 'including', 'coulda', 'anybody young', 'associate ok', 'apart tripped', 'decided bedazzle', 'decided believe']","[""Don't stall me bitch, you know who?"", 'Maybe somebody like, like your mama?', 'Ok, which one of you decided to bedazzle my clipboard?']"
67,142,67_movie_actor_film_make movie,"['movie', 'actor', 'film', 'make movie', 'hollywood', 'films', 'actress', 'art', 'painting', 'theatre']","['How can you go to a movie?', 'I see a movie.', 'A movie.']"
68,142,68_look look_look_look oh_lookit,"['look look', 'look', 'look oh', 'lookit', 'oh look', 'face look', 'look lookit', 'look don', 'look just', 'don look']","['Look!', 'Look.', 'Look around!']"
69,140,69_beautiful_beautiful beautiful_ugly_gorgeous,"['beautiful', 'beautiful beautiful', 'ugly', 'gorgeous', 'pretty', 'look', 'cute', 'beautiful look', 'look great', 'looking good']","[""It's beautiful."", 'This is so beautiful.', 'It’s beautiful!']"
70,139,70_just yes_just just_oh ain_oh course,"['just yes', 'just just', 'oh ain', 'oh course', 'yes just', 'yes', 'ain', 'isn', 'think just', 'ckay probably']","['Oh, of course it is!', 'Oh no, no, no, no, no, it ain’t.', 'Oh, but it ain’t.']"
71,137,71_did didn_did did_did_didn did,"['did didn', 'did did', 'did', 'didn did', 'yes did', 'did yes', 'didn', 'didn didn', 'really did', 'yeah did']","['You did.', 'I did too.', 'You didn’t even have one, did you?']"
72,137,72____,"['', '', '', '', '', '', '', '', '', '']","['What?', 'What?', 'What?']"
73,136,73_stick going_seven_zero_count,"['stick going', 'seven', 'zero', 'count', 'makes', 'salim', 'alright scream', 'composition poor', 'alphabet makes', 'chamber makes']","['I just heard Tony tell McKinny it was three.', ""One, once I'm gone, you lift that beast off the remaining Speck, then carry him to the nearest town."", ""Four, nine, zero, nine- the one with the stick going down, Salim-six- stick going up- Six, one, shit, let's go- It's okay, Salim.""]"
74,135,74_say_talk_want hear_say say,"['say', 'talk', 'want hear', 'say say', 'talk don', 'didn say', 'want talk', 'don want', 'say don', 'don say']","['What can I say?', 'What should I say?', 'What would you say?']"
75,135,75_know know_know_know yeah_yeah know,"['know know', 'know', 'know yeah', 'yeah know', 'know yes', 'yes know', 'know oh', 'oh know', 'yeah', 'super involved']","['I know, I know.', 'know, I know.', 'I know, I know!']"
76,134,76_sorry_apologize_sorry sorry_sorry sir,"['sorry', 'apologize', 'sorry sorry', 'sorry sir', 'sorry mr', 'apologize sorry', 'don apologize', 'apologies', 'apologized', 'sir sorry']","['I’m sorry?', 'Sorry?', 'I’m sorry?']"
77,134,77_come come_come_seriously come_oh come,"['come come', 'come', 'seriously come', 'oh come', 'seriously', 'come seriously', 'come oh', 'guys come', 'come guys', 'come buddy']","['Come on, come on!', 'Come on, come on.', 'Come on, come on!']"
78,131,78_right right_right_right dad_aw right,"['right right', 'right', 'right dad', 'aw right', 'dad aw', 'right wait', 'wait right', 'dad right', 'aw', 'dad']","['Right.', 'Right.', 'Right.']"
79,130,79_stuff_trivial_kind stuff_kind,"['stuff', 'trivial', 'kind stuff', 'kind', 'sort thing', 'thing', 'ordinary', 'ban', 'comparison longshot', 'damn embarrassing']","['What stuff?', 'stuff.', 'Stuff...']"
80,130,80_yes yes_yes__,"['yes yes', 'yes', '', '', '', '', '', '', '', '']","['Yes.', 'Yes.', 'Yes.']"
81,129,81_yes yes_yes_bullshittin yes_firewall emulator,"['yes yes', 'yes', 'bullshittin yes', 'firewall emulator', 'firewall', 'confused yes', 'hell yes', 'pix firewall', 'yes bullshittin', 'yes pix']","['Yes.', 'Yes.', 'Yes.']"
