Topic,Count,Name,Representation,Representative_Docs
167,72,167_ain shit_cause_respectfully_cause ain,"['ain shit', 'cause', 'respectfully', 'cause ain', 'respectfully respectfully', 'deserve', 'hut', 'shit', 'shit ain', 'acting like']","[""Cause you ain't shit, nigga!"", ""So ‘cause you ain’t shit, I ain't shit."", ""'Cause you ain't shit, I ain’t shit.""]"
168,72,168_heart_brain_nerve_hard,"['heart', 'brain', 'nerve', 'hard', 'emotions', 'hurts', 'heart tell', 'adrenaline', 'sumthin', 'sad']","['Ah yes - sex and alcohol - It fuels the desire but kills the performance - according to the Bard.', 'And before you know it, your heart is worn out, and, as for your body, there comes a point when no one looks at it, much less wants to come near it.', 'Wounds get locked in your heart and they fester and grow into ugly little things like depression and addiction.']"
169,70,169_miles_miles miles_hey miles_miles hey,"['miles', 'miles miles', 'hey miles', 'miles hey', 'miles oh', 'miles don', 'jesus miles', 'goddamn miles', 'bye miles', 'hi miles']","['See you, Miles.', 'See you over there, Miles.', 'You go first Miles.']"
170,70,170_wha_dat world_world wha_wha wha,"['wha', 'dat world', 'world wha', 'wha wha', 'dat', 'world', '', '', '', '']","['Dat?!', 'Wha-?', 'Wha??']"
171,69,171_ll think_today_good wanted_good interested,"['ll think', 'today', 'good wanted', 'good interested', 'big good', 'completely frank', 'cutting fine', 'does thas', 'frank wasn', 'far near']","['I think that’s quite reasonable.', ""Anyway, thas all I'd like to say for today."", 'Yeah but to be completely frank, it wasn’t enough!']"
172,69,172_nothin_nothin nothin_apparently thanks_come apparently,"['nothin', 'nothin nothin', 'apparently thanks', 'come apparently', 'important come', 'definition really', 'consequence oh', 'believed oh', 'ah nothin', 'turn key']","['Nothin’.', ""Nothin'?"", ""Nothin’, nothin'.""]"
173,69,173_thank thank_thank__,"['thank thank', 'thank', '', '', '', '', '', '', '', '']","['Thank you.', 'Thank you.', 'Thank you.']"
174,68,174_smell_smells_smell smell_smells like,"['smell', 'smells', 'smell smell', 'smells like', 'smell like', 'stink', 'smelling', 'balls smell', 'stinks', 'smell smells']","['What do you smell?', 'I can’t smell them.', 'But that smell.']"
175,68,175_noe_hey possible_ask sieze_day hi,"['noe', 'hey possible', 'ask sieze', 'day hi', 'wait ask', 'treach wait', 'hi noe', 'man treach', 'noe hey', 'sieze day']","['Why, Treach?', 'Sieze the day What’s up?', 'Hi, Noe, what’s up?']"
176,68,176_thank_thank mr_welcome_mr thank,"['thank', 'thank mr', 'welcome', 'mr thank', 'welcome thank', 'thank ma', 'ma thank', 'mr welcome', 'mr', 'sir thank']","['Thank you, Mr.', 'Thank you very much, Mr.', 'Thank you, Mr.']"
177,68,177_keys_lock_key_fix,"['keys', 'lock', 'key', 'fix', 'lock fix', 'keys keys', 'fix lock', 'fucking lock', 'locks', 'password']","['Keys...', 'Keys!', 'keys...']"
178,68,178_tony_tony tony_tony lip_lip,"['tony', 'tony tony', 'tony lip', 'lip', 'lip tony', 'fritz', 'vallelonga', 'make tony', 'tony vallelonga', 'thank tony']","['- Tony.', 'I’m Tony.', 'Tony...']"
179,67,179_right right_right_correct_right correct,"['right right', 'right', 'correct', 'right correct', 'correct right', 'right yes', 'yes right', 'right yeah', 'fuzz correct', 'monkey right']","['That’s right.', ""That's right."", 'That’s right.']"
180,67,180_weird_strange_fucked_weird weird,"['weird', 'strange', 'fucked', 'weird weird', 'odd', 'weird fucked', 'weirdest', 'unusual', 'isn strange', 'weird kind']","['That was a weird call.', 'Is it weird?', 'So weird.']"
181,67,181_jared_hi_alicia god_manolo hell,"['jared', 'hi', 'alicia god', 'manolo hell', 'moira buddy', 'doing queen', 'bob mr', 'francis ellis', 'generally doing', 'god tonight']","['Hey you Moira, how are you?', 'How are you, JARED?', 'Hey Jared!']"
182,66,182_fuck fuck_fuck_fuck em_screw fuck,"['fuck fuck', 'fuck', 'fuck em', 'screw fuck', 'em fuck', 'screw', 'fuck scuse', 'fuck aw', 'ozzy fuck', 'fuck willard']","['Fuck you.', 'Fuck them!', 'Fuck you!']"
183,66,183_understand_understand understand_clear_understand don,"['understand', 'understand understand', 'clear', 'understand don', 'starting understand', 'don understand', 'understand starting', 'understand clear', 'starting', 'understanding']","['Do you understand?', 'Do you understand?', 'Do you understand that?']"
184,66,184_lee_lee lee_uncle lee_uncle,"['lee', 'lee lee', 'uncle lee', 'uncle', 'lee uncle', 'lee hey', 'hey lee', 'goodbye uncle', 'look lee', 'lee oh']","['Lee.', 'Lee!', 'No, Lee  Lee, no .']"
185,66,185_business_business business_business good_good business,"['business', 'business business', 'business good', 'good business', 'businesses', 'business just', 'customers', 'doin business', 'state business', 'clients']","['What business are *you* in?', 'Business.', ""Take it you're the business.""]"
186,65,186_burning_cross_flames_burn,"['burning', 'cross', 'flames', 'burn', 'taking incoming', 'cross burning', 'incoming', 'burnt', 'dies', 'hole']","['He is burning ...', 'already burning.', 'The Next Cross Burning.']"
187,65,187_hey hey_hey_little hey_hey little,"['hey hey', 'hey', 'little hey', 'hey little', 'little', '', '', '', '', '']","['Hey!!', 'Hey!', 'HEY!']"
188,65,188_difference_different_difference difference_different different,"['difference', 'different', 'difference difference', 'different different', 'difference different', 'guess different', 'different difference', 'know difference', 'tell difference', 'difference isn']","[""What's the difference?"", 'Same difference.', 'What’s the difference?']"
189,65,189_jojo_jojo jojo_rabbit_jojo rabbit,"['jojo', 'jojo jojo', 'rabbit', 'jojo rabbit', 'jurek', 'tie shoelaces', 'come jojo', 'field marshall', 'hunting carrots', 'jojo okay']","['Jojo?', 'Jojo?', 'Jojo!']"
190,64,190_boat_vessel_sailboat_ship,"['boat', 'vessel', 'sailboat', 'ship', 'ships', 'row crew', 'row', 'boat ride', 'boat boat', 'sea']","['a boat ride.', 'Her boat, someone else’s boat -- it wouldn’t have made any difference.', 'What about the boat?']"
191,64,191_exactly exactly_exactly_precisely_precisely exactly,"['exactly exactly', 'exactly', 'precisely', 'precisely exactly', 'exactly precisely', 'exactly yes', 'agr', 'exactly graham', 'eement exactly', 'exactly sir']","['Exactly.', 'Exactly.', 'Exactly.']"
192,64,192_twice_times_ve twice_twice just,"['twice', 'times', 've twice', 'twice just', 'time times', 'know pourers', 'pourers', 'pourers hit', 'time', 'time time']","['Twice.', 'Twice.', 'Twice before your military service and twice after -- a grand total of four times.']"
193,63,193_german_speak german_germans_german german,"['german', 'speak german', 'germans', 'german german', 'speaks german', 'speak', 'von', 'speaks', 'stands reason', 'german don']","['He’s a German.', 'He’s German.', 'German!']"
194,63,194_yes yes_yes__,"['yes yes', 'yes', '', '', '', '', '', '', '', '']","['Yes.', 'Yes.', 'Yes.']"
195,63,195_vous_je_la_pas,"['vous', 'je', 'la', 'pas', 'est', 'le', 'pouvez', 'pouvez vous', 'tout', 'plus']","[""Vous ne connaissez pas Adriana mais c'est tout ce qui la represente."", 'Pouvez-vous s’il vous plait appelez la police?', 'Pouvez-vous s’il vous plait appelez la police?']"
196,63,196_asked head_disdain okay_choose ta_just asked,"['asked head', 'disdain okay', 'choose ta', 'just asked', 'kim just', 'head kim', 'okay thundercats', 'scrub won', 'ta scrub', 'thundercats']","['Choose another ta go.', 'You said, ""so go"" with such disdain.', ""You just asked-- Go 'head.""]"
197,62,197_fault_fault fault_responsible_blame fault,"['fault', 'fault fault', 'responsible', 'blame fault', 'blame', 'responsibility', 'forgive', 'll forgive', 'fault responsible', 'fault hope']","['It’s all my fault.', ""So now it's my fault?"", 'That is not your fault.']"
198,62,198_sir yes_yes sir_sir_yes,"['sir yes', 'yes sir', 'sir', 'yes', 'mr yes', 'yes mr', 'sup', 'sir sup', 'sir sir', 'mr']","['Yes, sir!', 'Yes, sir.', 'Sir, yes sir.']"
199,62,199_honey_honey honey_sweetheart_darling,"['honey', 'honey honey', 'sweetheart', 'darling', 'darling hello', 'hello darling', 'honey hello', 'honey hi', 'hi precious', 'sweetheart honey']","['Honey ...', 'Honey ...', 'Honey, honey...']"
200,62,200_joel_joel joel_joel barish_barish,"['joel', 'joel joel', 'joel barish', 'barish', 'joel just', 'goal joel', 'going joel', 'baby joel', 'joel come', 'joel goal']","['Joel!', ""I can't see them from here, Joel!"", 'Joel.']"
201,62,201_yeah yeah_hi yeah_yeah hi_yeah,"['yeah yeah', 'hi yeah', 'yeah hi', 'yeah', 'hi', 'hi hi', 'shit yeah', 'yessir yeah', 'hi shit', 'yeah yessir']","['Yeah?', 'Yeah?', 'Yeah?']"
202,61,202_surprise_surprised_big surprise_shocked,"['surprise', 'surprised', 'big surprise', 'shocked', 'surprise big', 'surprises', 'surprise surprised', 'surprising', 'surprise don', 'shame']","['You surprise me.', 'What a surprise.', 'It’s a surprise for her, not for me.']"
203,61,203_dream_dreams_dreaming_nightmare,"['dream', 'dreams', 'dreaming', 'nightmare', 'dreaming dreaming', 'dream dream', 'dream night', 'waking', 'walking waking', 'dreams nightmares']","['What dream?', 'He has a dream.', 'That was the dream...']"
204,61,204_let let_let_let ok_ok let,"['let let', 'let', 'let ok', 'ok let', 'okay let', 'let okay', 'let just', 'let come', 'come let', 'let mon']","[""Let's go."", ""Okay, let's go, let's go!"", 'Let’s go, let’s go, let’s go.']"
205,61,205____,"['', '', '', '', '', '', '', '', '', '']","['No.', 'No.', 'No.']"
206,61,206_hello_hello hello_hello hey_hello oh,"['hello', 'hello hello', 'hello hey', 'hello oh', 'guys hello', 'hey guys', 'oh hello', 'hey man', 'hey', 'hi hello']","['Hello.', 'Hello.', 'Hello.- Hello.']"
207,61,207_mike_mike mike_mitch_blaster,"['mike', 'mike mike', 'mitch', 'blaster', 'blaster mike', 'mikey', 'story mike', 'listen mitch', 'mike need', 'mike blaster']","['How’s Mike?', 'Not Mike.', 'Mike who?']"
208,60,208_story_long story_story long_story story,"['story', 'long story', 'story long', 'story story', 'true story', 'want story', 'story want', 'story true', 'know story', 'long']","['long story.', 'It’s not the whole story.', 'Do the story.']"
209,60,209_yeah yeah_yeah__,"['yeah yeah', 'yeah', '', '', '', '', '', '', '', '']","['Yeah.', 'Yeah.', 'Yeah.']"
210,60,210_soldier_army_conscriptions_soldier soldier,"['soldier', 'army', 'conscriptions', 'soldier soldier', 'guys army', 'active duty', 'insurgent', 'got active', 'military', 'service']","['Is this what you are, Soldier?', 'You’re a soldier?', 'Are you a soldier?']"
211,59,211_comes okay_comes ya_darlin okay_need background,"['comes okay', 'comes ya', 'darlin okay', 'need background', 'ah christ', 'background ah', 'ya comes', 'right darlin', 'okay okay', 'christ oh']","['Okay, here it is.', 'Okay, there you go.', 'I need background.']"
212,59,212_worry don_don worry_worry_don,"['worry don', 'don worry', 'worry', 'don', 'sweat don', 'worry worry', 'conscious don', 'don sweat', 'worry mr', 'self conscious']","['Don’t worry.', 'Don’t worry.', 'Don’t worry.']"
213,59,213_paris_versailles_paris paris_going paris,"['paris', 'versailles', 'paris paris', 'going paris', 'paris beautiful', 'live paris', 'lives paris', 'beautiful', 'epoque', 'belle epoque']","['Paris?', 'In Paris?', 'In Paris?']"
214,59,214_simple_complicated_simple simple_really simple,"['simple', 'complicated', 'simple simple', 'really simple', 'easy', 'simple complicated', 'complicated simple', 'easy simple', 'just simple', 'difficult']","['— It’s not that simple, is it?', 'Simple?', 'And simple.']"
215,58,215_apples_peaches_pickin_apple,"['apples', 'peaches', 'pickin', 'apple', 'peach', 'picking apples', 'picking', 'cider', 'cherries', 'fruit']","[""You pickin' more cider apples then anythin' else."", ""You pickin' nothin' but cider apples, Peaches--I hope you understand that."", 'Apples.']"
216,58,216_told told_told_tell told_told telling,"['told told', 'told', 'tell told', 'told telling', 'told times', 'telling', 'tell', 'times told', 'telling told', 'didn tell']","['I told you.', 'I have told you.', 'I told you!']"
217,57,217_crying_cryin_tears_sad,"['crying', 'cryin', 'tears', 'sad', 'crying think', 'sad story', 'crying crying', 'crying wolf', 'cries', 'wolf']","['Crying!', 'Is that you crying?', 'I’m not crying.']"
218,57,218_away away_away_away just_leave,"['away away', 'away', 'away just', 'leave', 'stay away', 'away leave', 'away fuck', 'just leave', 'don away', 'leave just']","['Get away from me.', 'Back away.', 'Get away from me.']"
219,57,219_frank_frank frank_uncle frank_uncle,"['frank', 'frank frank', 'uncle frank', 'uncle', 'frank got', 'frank okay', 'check frank', 'okay frank', 'hi uncle', 'relax']","['Frank ...', 'Frank ...', ""Frank, you're twelve?""]"
220,56,220_rupees_million rupees_thousand rupees_million,"['rupees', 'million rupees', 'thousand rupees', 'million', 'millionaire', 'wants millionaire', 'thousand', 'sixteen thousand', 'welcome wants', 'final question']","['Ten rupees.', 'For sixty-four thousand rupees.', 'Ten million rupees.']"
221,56,221_english_speak english_language_speak,"['english', 'speak english', 'language', 'speak', 'english speak', 'don speak', 'english don', 'spanish', 'languages', 'language speak']","['You speak English?', 'Speak English?', 'Do you speak English?']"
222,56,222_job_work_love job_amazon,"['job', 'work', 'love job', 'amazon', 'working', 'job love', 'job work', 'job like', 'jobs', 'living']","['I love my job.', 'I love my job!', 'And your job is...?']"
223,55,223_ready ready_ready_ready okay_okay ready,"['ready ready', 'ready', 'ready okay', 'okay ready', 'ready ll', 'll ready', 'moment dean', 'hope ready', 'okay prepared', 'readiness just']","['Now, it seems, you’re ready.', 'Get ready!', 'Ready to go.']"
224,55,224_mrs mrs_mrs_guess mrs_mrs guess,"['mrs mrs', 'mrs', 'guess mrs', 'mrs guess', 'mr mrs', 'ladyship ou', 'lady remind', 'fitzwilly', 'fitzwilly mrs', 'candie fitzwilly']","['Mrs.', 'Mrs.', 'Mrs.']"
225,55,225_wow wow_wow_wöw wow_oh wow,"['wow wow', 'wow', 'wöw wow', 'oh wow', 'wow oh', 'wow wöw', 'wöw', 'oh', '', '']","['Wow.', 'Wow.', 'Wow.']"
226,55,226_ah___,"['ah', '', '', '', '', '', '', '', '', '']","['Here.', 'Here.', 'Ah, here.']"
227,55,227_olive_olive olive_olive come_okay olive,"['olive', 'olive olive', 'olive come', 'okay olive', 'regionals', 'contest boca', 'diet pills', 'harvey olive', 'come olive', 'olive gonna']","['Olive is who she is.', 'Olive.', 'Olive.']"
228,55,228_hi hi_hi_yeah hiya_cute yeah,"['hi hi', 'hi', 'yeah hiya', 'cute yeah', 'hiya hi', 'look cute', 'hi look', 'hiya', 'hi yeah', 'yeah hi']","['Hi!', 'Hi!', 'Hi!']"
229,54,229_en_la_es_que,"['en', 'la', 'es', 'que', 'salome', 'iglesia', 'la iglesia', 'por', 'senor', 'sala']","['La iglesia no es la tradición.', 'La iglesia es l que hagamos en adelante.', 'La lucha está aquí aquí  dentro de cada uno de  nosotros si cedemos al odio y  al temor, si hablamos de “bandos” en vez de hablar por cada hombre y cada mujer.']"
230,54,230_war_war war_ended war_war won,"['war', 'war war', 'ended war', 'war won', 'vietnam', 'win war', 'end war', 'ooh', 'allies', 'ended']","['The war’s over.', 'This war is over.', 'The war is over!']"
231,54,231_richard_richard richard_okay richard_richard gonna,"['richard', 'richard richard', 'okay richard', 'richard gonna', 'dick pabich', 'gonna richard', 'dick roswell', 'doesn richard', 'bear dick', 'calling richard']","['No, Richard.', 'Richard.', 'Richard!']"
232,54,232_weissman_mr weissman_jennings_mr jennings,"['weissman', 'mr weissman', 'jennings', 'mr jennings', 'mr', 'valet', 'weissman valet', 'jennings mr', 'jennings thank', 'valet mr']","[""Have you heard about Mr Weissman's valet?"", 'Thank you, Mr Weissman.', 'Ah, Mr Weissman, there you are You are here as valet to Mr Weissman.']"
233,54,233_color_favorite color_green_red,"['color', 'favorite color', 'green', 'red', 'favorite', 'yellow', 'green green', 'color favorite', 'blue', 'purple']","['My favorite color...', 'What’s your favorite color?', 'Favorite color?']"
234,54,234_hi_hi hi_okay okay_okay,"['hi', 'hi hi', 'okay okay', 'okay', 'hi okay', 'okay hi', 'ok hi', 'ok okay', 'ok', 'okay good']","['Hi.', 'Hi.', 'Hi.']"
235,53,235____,"['', '', '', '', '', '', '', '', '', '']","['What?', 'What?', 'What?']"
236,53,236____,"['', '', '', '', '', '', '', '', '', '']","['How?', 'How?', 'No?']"
237,53,237_refers_title refers_yeah soooo_soooo okay,"['refers', 'title refers', 'yeah soooo', 'soooo okay', 'refers good', 'soooo', 'good yeah', 'title', 'okay', 'yeah']","['Okay so...', 'soooo...', 'So the title refers to...']"
238,53,238_drunk_drunk drunk_drunk really_sober,"['drunk', 'drunk drunk', 'drunk really', 'sober', 'drinking', 'doesn drink', 'drunk right', 'drunk drinking', 'sober fucking', 'pretty drunk']","['I’m not drunk...', ""You're drunk."", 'He was drunk.']"
239,53,239_yeah yeah_yeah__,"['yeah yeah', 'yeah', '', '', '', '', '', '', '', '']","['Yeah.', 'Yeah.', 'Yeah.']"
240,52,240_good good_good_good got_got good,"['good good', 'good', 'good got', 'got good', 'got', '', '', '', '', '']","['Good.', 'Good.', 'Good.']"
241,52,241_god oh_oh god_god_oh,"['god oh', 'oh god', 'god', 'oh', 'good god', 'oh good', 'good', '', '', '']","['Oh my god.', 'Oh my God.', 'Oh my god.']"
242,52,242_thanks thanks_thanks_ty_thanks thankee,"['thanks thanks', 'thanks', 'ty', 'thanks thankee', 'thanks ty', 'yeew', 'thank yeew', 'thankee', 'thankee thanks', 'thanks dol']","['thanks.', 'Thanks.', 'Thanks.']"
243,52,243_don heck_heck don_understand bloody_bloody hell,"['don heck', 'heck don', 'understand bloody', 'bloody hell', 'heck', 'don don', 'don understand', 'bloody', 'hell', 'understand']","['I don’t understand, why not?', 'Why the heck not?', 'AND WHY THE BLOODY HELL NOT?']"
244,52,244_thanks thanks_amen_thanks_amen thanks,"['thanks thanks', 'amen', 'thanks', 'amen thanks', 'thanks amen', 'amen amen', 'mr amen', 'amen mr', 'amen did', 'right thanks']","['Amen!', 'Amen!', 'Amen!']"
245,51,245_brad wife_buster person_won wasn_son thatjazz,"['brad wife', 'buster person', 'won wasn', 'son thatjazz', 'geoghan just', 'guys buster', 'thatjazz geoghan', 'son giving', 'just son', 'wasn guys']","['For you, Brad?', 'FOR ALL THATJAZZ!', 'What are you giving me shit for?']"
246,51,246_congratulations_holy shit_congratulations congratulations_congratulations good,"['congratulations', 'holy shit', 'congratulations congratulations', 'congratulations good', 'holy', 'shit congratulations', 'shit holy', 'good congratulations', 'congratulations holy', 'good holy']","['Congratulations.', 'Congratulations.', 'Congratulations.']"
247,50,247_paul_paul paul_paulie_peter,"['paul', 'paul paul', 'paulie', 'peter', 'paulie bleeker', 'bleeker', 'peter paul', 'peter peter', 'paul expert', 'hey paul']","['Paul was always there for me...', 'It’s me, Paul.', 'About Paul.']"
